Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE
231a2cb1-0ebe-dc12-3c96-f625d795ef3a,1992-07-29,,999-40-5904,S99939861,X73004803X,Mr.,Bill567,Wolf938,,,M,white,nonhispanic,M,Wellesley  Massachusetts  US,983 Smith Arcade,Boston,Massachusetts,Suffolk County,02134,42.245182191125096,-71.055145200785,901366.3724999998,8227.1175
9b5de0da-9c38-3584-acd7-98f03f3177d4,1980-09-14,,999-94-8451,S99920404,X8777516X,Mrs.,Gwyneth692,Koch169,,Carter549,M,white,nonhispanic,F,Abington  Massachusetts  US,1037 Bins Quay,Falmouth,Massachusetts,Barnstable County,02540,41.60336234281022,-70.62875533453548,1508463.0165,148114.72350000002
34c9600a-6f70-b552-96bc-f751024f8746,2002-04-07,,999-93-1486,S99996416,,Mr.,Víctor493,Rentería94,,,,white,hispanic,M,Mexico City  Mexico City  MX,703 Zulauf Rest Apt 78,Winchendon,Massachusetts,Worcester County,01475,42.69623358322428,-72.07443923182578,518200.72500000003,1644.9449999999997
12aabca7-b8e1-a2a7-7e23-08b1c01a82bb,1955-06-18,,999-37-4256,S99935259,X73306558X,Mrs.,Ramona980,Toledo81,,Escobedo608,M,black,hispanic,F,Panama City  Panama  PA,486 O'Conner Corner,Milford,Massachusetts,Worcester County,,42.122621526463476,-71.48314909256072,1167982.7590000003,373165.681
8825ff6d-ee2d-40b1-a0ad-fdca3ead2fc7,1963-01-21,,999-40-2211,S99982807,X80006334X,Mr.,Jere230,Herzog843,,,M,white,nonhispanic,M,Burlington  Massachusetts  US,1035 Kohler Path Unit 82,Springfield,Massachusetts,Hampden County,01118,42.05881304608982,-72.55927492393953,1518576.572500001,1016.9774999999996
8d68c724-b392-83a2-9c60-52110dc85254,1981-05-31,,999-90-9807,S99934134,X53538966X,Mrs.,Mariann762,Corwin846,,Beier427,M,white,nonhispanic,F,Winthrop  Massachusetts  US,419 Cummerata Bay Suite 55,Lowell,Massachusetts,Middlesex County,,42.63387584864737,-71.26248114755413,1351509.5620000002,519315.1979999999
ee7a1702-9431-b973-9b5d-a7c1744640db,1957-05-22,2020-03-14,999-74-5842,S99955622,X61041595X,Mrs.,America446,Hintz995,,Watsica258,M,black,nonhispanic,F,Peabody  Massachusetts  US,401 Corwin Village Suite 60,Brockton,Massachusetts,Plymouth County,02301,42.0591140450818,-71.01978107753064,278327.1180000001,1109860.262
a48808e4-6d82-a346-fa04-065e2856bc28,1997-03-10,,999-96-6000,S99940939,X72008193X,Mr.,Malik994,Moore224,,,,black,hispanic,M,East Harwich  Massachusetts  US,509 Senger Glen Apt 18,North Adams,Massachusetts,Berkshire County,01247,42.66663901328355,-73.13233854824404,628580.23,0.0
c0aa45b6-7d03-c9bc-3ee2-8c72889fd59e,1964-12-16,,999-86-2696,S99989143,X57618748X,Mr.,Gabriel934,Rodarte647,,,M,white,hispanic,M,Port-au-Prince  Haiti  HT,364 Bosco Camp Apt 41,Springfield,Massachusetts,Hampden County,01109,42.133747481318196,-72.51632235075583,1635673.0050000004,61007.47499999999
0056a0b6-7311-1113-99b4-b3eb1b7e215e,1990-07-27,,999-78-2569,S99954771,X75331483X,Mr.,Wallace647,Hamill307,,,M,white,nonhispanic,M,Boston  Massachusetts  US,632 Oberbrunner Viaduct,Sherborn,Massachusetts,Middlesex County,,42.191106993679284,-71.35288328927386,752635.315,1417.8449999999998
f7be139e-db02-e251-eec9-8a2187ac21cd,2011-02-22,,999-27-1381,,,,Gerardo48,Lind531,,,,white,nonhispanic,M,Lynn  Massachusetts  US,416 Goyette Rue Unit 90,Ware,Massachusetts,Hampshire County,01082,42.26610711329857,-72.2409184477293,260093.45999999996,0.0
c2d5edb6-c0fb-5846-3bb7-c58043e8bdf5,1978-09-22,,999-45-4561,S99944026,X22127516X,Ms.,Jana258,Wintheiser220,,,S,white,nonhispanic,F,Belmont  Massachusetts  US,144 Brekke Village Unit 23,Gloucester,Massachusetts,Essex County,01930,42.66488643163934,-70.71928454718784,2000526.102,175717.06799999997
3701240f-22e7-6889-1ca2-d7ce8b571438,1977-02-11,,999-24-8447,S99924611,X68422339X,Mrs.,Vernetta697,Shields502,,Schneider199,M,white,hispanic,F,Tewksbury  Massachusetts  US,623 Rau Trafficway Suite 93,Georgetown,Massachusetts,Essex County,,42.73167311960855,-70.95875388117445,1771528.8100000003,0.0
3bf2f32e-0f71-d00e-2fac-59213126be14,1962-06-24,,999-92-6834,S99997531,X35225829X,Mrs.,Altagracia629,Shanahan202,,Langosh790,M,white,nonhispanic,F,Chicopee  Massachusetts  US,163 King Rue Suite 99,Fitchburg,Massachusetts,Worcester County,01420,42.564073412330934,-71.77018098187767,1997035.3585,369836.4314999999
e95137bc-fd1d-8e91-88cf-ea57a860be49,1991-06-12,,999-78-5353,S99999944,X65465014X,Mrs.,Casimira119,Auer97,,Walter473,M,white,nonhispanic,F,Milton  Massachusetts  US,454 Renner Green,Somerville,Massachusetts,Middlesex County,02155,42.38148821658127,-71.1358645969362,1021043.4020000001,177852.868
44d04e52-0182-a78d-c3c4-88056eb5d523,1987-11-23,2010-01-25,999-47-2652,S99997220,X55326644X,Mr.,Dusty207,Bayer639,,,,white,nonhispanic,M,Abington  Massachusetts  US,774 Leannon Rest Suite 94,Easton,Massachusetts,Bristol County,,42.005551227282595,-71.09516916456867,729643.065,33316.575
ba52b111-7f9c-2d86-4c11-aaaeddbf223c,1975-10-18,,999-22-9343,S99919754,X41532388X,Mr.,Otis335,Hartmann983,,,M,white,nonhispanic,M,Malden  Massachusetts  US,885 Williamson Road Apt 48,Lynn,Massachusetts,Essex County,01904,42.43129698603945,-70.90392378846842,1100585.2349999999,882.6449999999998
c50b03b3-5933-89a8-be89-0970e9aed279,1937-01-03,2006-04-16,999-22-4956,S99945361,X84868413X,Ms.,Mariah942,Bruen238,,,S,white,nonhispanic,F,Boston  Massachusetts  US,635 Christiansen Trail,Lynn,Massachusetts,Essex County,01905,42.46170396615204,-70.92270361353609,2798902.023,422916.56700000004
02f2b2ec-1e4b-a21c-0004-40ac44ef0a15,1999-08-06,,999-26-8558,S99929590,X42558101X,Ms.,Cordelia715,Rohan584,,,,white,nonhispanic,F,Boston  Massachusetts  US,892 Schuppe Byway,Clarksburg,Massachusetts,Berkshire County,,42.729389933626734,-73.0962226785859,549412.5425,171771.34749999995
a71f0eba-faff-f446-37a1-a32848e5fc96,1987-11-23,,999-13-2874,S99944952,X61908892X,Mr.,Will178,Swaniawski813,,,M,white,nonhispanic,M,New Bedford  Massachusetts  US,701 Kris Terrace Suite 56,Easton,Massachusetts,Bristol County,,42.066730944789946,-71.12529026836987,839512.89,0.0
